BEAUCHAMP;95250;95051
VAUCRESSON;92420;92076
COURCELLES-SUR-VIOSNE;95650;95181
VAUDOY-EN-BRIE;77141;77486
MAUREPAS;78310;78383
SAINT-GERVAIS;95420;95554
VILLIERS-SOUS-GREZ;77760;77520
ORVEAU;91590;91473
JABLINES;77450;77234
AUBERVILLIERS;93300;93001
SAULX-MARCHAIS;78650;78588
CERNY;91590;91129
EPINAY-SOUS-SENART;91860;91215
SAACY-SUR-MARNE;77730;77397
TROCY-EN-MULTIEN;77440;77476
MOISSY-CRAMAYEL;77550;77296
THOMERY;77810;77463
LE MEE-SUR-SEINE;77350;77285
ERMONT;95120;95219
VULAINES-LES-PROVINS;77160;77532
PERIGNY;94520;94056
SOISY-SUR-SEINE;91450;91600
BUCHELAY;78200;78118
VAUJOURS;93410;93074
LUZANCY;77138;77265
BAZOCHES-LES-BRAY;77118;77025
HARDRICOURT;78250;78299
MAREUIL-LES-MEAUX;77100;77276
VILLEVAUDE;77410;77517
MORET-SUR-LOING;77250;77316
HERMERAY;78125;78307
CHATILLON;92320;92020
ISSOU;78440;78314
VICQ;78490;78653
SAINT-REMY-L'HONORE;78690;78576
CITRY;77730;77117
MEROBERT;91780;91393
SAINT-BARTHELEMY;77320;77402
MONTCOURT-FROMONVILLE;77140;77302
WY-DIT-JOLI-VILLAGE;95420;95690
EPINAY-SUR-SEINE;93800;93031
MONTIGNY-LE-GUESDIER;77480;77310
LA FERTE-ALAIS;91590;91232
NANTOUILLET;77230;77332
RAMBOUILLET;78120;78517
COURTRY;77181;77139
LE MESNIL-LE-ROI;78600;78396
BROU-SUR-CHANTEREINE;77177;77055
MOUSSY-LE-NEUF;77230;77322
PORT-VILLEZ;78270;78503
ECUELLES;77250;77166
VILLEMARECHAL;77710;77504
SAINT-ILLIERS-LA-VILLE;78980;78558
SAINT-SAUVEUR-LES-BRAY;77480;77434
VEMARS;95470;95641
DAMPMART;77400;77155
CORBEIL-ESSONNES;91100;91174
AUVERS-SUR-OISE;95430;95039
VILLENEUVE-SAINT-GEORGES;94190;94078
NEUILLY-SUR-SEINE;92200;92051
BIEVRES;91570;91064
CHAMPAGNE-SUR-OISE;95660;95134
ORMOY;91540;91468
ROSNY-SUR-SEINE;78710;78531
ROUILLY;77160;77391
MESSY;77410;77292
SAINT-FARGEAU-PONTHIERRY;77310;77407
SAINT-MARTIN-DU-TERTRE;95270;95566
TRILBARDOU;77450;77474
YERRES;91330;91691
MITTAINVILLE;78125;78407
DOUE;77510;77162
PERSAN;95340;95487
REUIL-EN-BRIE;77260;77388
TESSANCOURT-SUR-AUBETTE;78250;78609
PISCOP;95350;95489
ORSAY;91400;91471
ROSNY-SOUS-BOIS;93110;93064
MOISSELLES;95570;95409
HARAVILLIERS;95640;95298
LUZARCHES;95270;95352
BOURG-LA-REINE;92340;92014
LE CHESNAY;78150;78158
MESPUITS;91150;91399
BRY-SUR-MARNE;94360;94015
ORMOY-LA-RIVIERE;91150;91469
TOUSSUS-LE-NOBLE;78117;78620
VIROFLAY;78220;78686
LA TOMBE;77130;77467
BALLAINVILLIERS;91160;91044
BOIS-COLOMBES;92270;92009
ENGHIEN-LES-BAINS;95880;95210
SANCY-LES-PROVINS;77320;77444
GRESSEY;78550;78285
PARIS-12E-ARRONDISSEMENT;75012;75112
MAROLLES-EN-BRIE;77120;77278
ORVILLIERS;78910;78474
AUFFREVILLE-BRASSEUIL;78930;78031
ANGERVILLE;91670;91016
LA CHAPELLE-LA-REINE;77760;77088
BANTHELU;95420;95046
SAINT-CYR-EN-ARTHIES;95510;95543
CLICHY;92110;92024
SAINTE-AULDE;77260;77401
PIERRELAYE;95480;95488
NANGIS;77370;77327
SAINT-ARNOULT-EN-YVELINES;78730;78537
BELLEFONTAINE;95270;95055
PALEY;77710;77353
BOISSETTES;77350;77038
SACLAY;91400;91534
NEMOURS;77140;77333
MARY-SUR-MARNE;77440;77280
JOUY-EN-JOSAS;78350;78322
LE VAUDOUE;77123;77485
IGNY;91430;91312
LONGNES;78980;78346
BAILLY;78870;78043
SAINT-GRATIEN;95210;95555
LEUVILLE-SUR-ORGE;91310;91333
SALINS;77148;77439
AMPONVILLE;77760;77003
GIREMOUTIERS;77120;77206
PARIS-2E-ARRONDISSEMENT;75002;75102
SAINT-CHERON;91530;91540
L'ILE-SAINT-DENIS;93450;93039
CHATENAY-MALABRY;92290;92019
FONTAINE-LE-PORT;77590;77188
VANVILLE;77370;77481
BEAUVOIR;77390;77029
ARGENTEUIL;95100;95018
LE PLESSIS-FEU-AUSSOUX;77540;77365
SEINE-PORT;77240;77447
AUTOUILLET;78770;78036
VIGNELY;77450;77498
MORSANG-SUR-SEINE;91250;91435
VIRY-CHATILLON;91170;91687
BUSSY-SAINT-MARTIN;77600;77059
CLAIREFONTAINE-EN-YVELINES;78120;78164
LES MESNULS;78490;78398
BURCY;77760;77056
SAINTE-GENEVIEVE-DES-BOIS;91700;91549
RUEIL-MALMAISON;92500;92063
COURANCES;91490;91180
VILLEJUIF;94800;94076
HERICY;77850;77226
BOITRON;77750;77043
CHATIGNONVILLE;91410;91145
BOISSY-SAINT-LEGER;94470;94004
EPIAIS-LES-LOUVRES;95380;95212
VILLEJUST;91140;91666
BARCY;77910;77023
VAUX-SUR-SEINE;78740;78638
LE PLESSIS-LUZARCHES;95270;95493
AINCOURT;95510;95008
BOISEMONT;95000;95074
MARCHEMORET;77230;77273
CROSNE;91560;91191
SAILLY;78440;78536
LA CELLE-SAINT-CLOUD;78170;78126
TILLY;78790;78618
SAINT-REMY-LES-CHEVREUSE;78470;78575
LIVERDY-EN-BRIE;77220;77254
SANTENY;94440;94070
BUHY;95770;95119
MONTEREAU-FAULT-YONNE;77130;77305
VILLE-SAINT-JACQUES;77130;77516
SACLAS;91690;91533
ASNIERES-SUR-SEINE;92600;92004
NERVILLE-LA-FORET;95590;95445
CHARMENTRAY;77410;77094
LIZINES;77650;77256
SCEAUX;92330;92071
LAVAL-EN-BRIE;77148;77245
PARMAIN;95620;95480
MONTARLOT;77250;77299
